Group,File Path,Size,Last Modified,Content Hash,Status
Group 4,C:\EGOS\docs\technical\code_practices\code_analysis_archive\large_files_report.md,6889,2025-05-21 11:09:02,c9cd98a2b636a8458f23c7c2fdcd6179,Duplicate
Group 5,C:\EGOS\docs\core_materials\code_history_analysis.md,1755,2025-05-21 15:08:50,99ed6463acddfe99889bfdc00a10abd8,Duplicate
Group 5,C:\EGOS\docs\technical\code_history_analysis.md,2879,2025-05-21 15:08:52,534c366b245bbec4d2313b6c37c5fba3,Canonical
Group 6,C:\EGOS\docs\core_materials\CRONOS_REFACTORING_EXAMPLE.md,11820,2025-05-21 00:40:22,24db1508bcf498d5aece33254b796fde,Duplicate
Group 6,C:\EGOS\docs\guides\CRONOS_REFACTORING_EXAMPLE.md,12970,2025-05-21 11:09:01,59e93ee790aaea561f9e86dc8803b821,Canonical
Group 7,C:\EGOS\docs\core_materials\EGOS_OVERVIEW.md,3319,2025-05-21 00:40:22,692759c667feff85436b77a797043dcc,Duplicate
Group 7,C:\EGOS\docs\project\EGOS_OVERVIEW.md,4455,2025-05-21 11:09:01,78a907be4a9d5357cb33507d96fc9857,Canonical
Group 8,C:\EGOS\docs\core_materials\gitbash_commands.md,3245,2025-05-21 00:40:22,78f5b1d3c18d9ecfcc4cca5f7d60c65c,Duplicate
Group 8,C:\EGOS\docs\guides\gitbash_commands.md,4345,2025-05-21 11:09:01,b66027ec05fc1284165839d6afcbadc0,Canonical
Group 9,C:\EGOS\docs\core_materials\GOVERNANCE.md,3974,2025-05-21 00:40:22,891939db77aaad65205e139c06254cbf,Duplicate
Group 9,C:\EGOS\docs\GOVERNANCE.md,313,2025-05-21 00:18:50,0e85174e87f09c200393230ba7e3f614,Canonical
Group 9,C:\EGOS\docs\project\GOVERNANCE.md,1315,2025-05-21 11:09:01,5f36f01796191cfa3ff70d65d68a0596,Duplicate
Group 10,C:\EGOS\docs\core_materials\historical_changelogs\BIOS-Q MCP.txt,15522,2025-05-21 00:40:22,9073abdc79f82ff50ec07bacd8a7f0d4,Duplicate
Group 10,C:\EGOS\docs\governance\BIOS-Q MCP.txt,15974,2025-05-21 00:40:22,cb8ab05bc59ffeac1c1b60c50b6d1ed1,Duplicate
Group 10,C:\EGOS\docs\technical\BIOS-Q MCP.txt,15731,2025-05-21 00:40:23,ae7186ff8fa0e7e0b24d465ef8ce3225,Canonical
Group 11,C:\EGOS\docs\core_materials\historical_changelogs\Cursor X Web limitaçoes.txt,4403,2025-05-21 00:40:22,d1509e86fec6ad15b1661c57e4010456,Duplicate
Group 11,C:\EGOS\docs\technical\Cursor X Web limitaçoes.txt,4612,2025-05-21 00:40:23,79f0f57d9d2904db062d1c7440bf4c07,Canonical
Group 12,C:\EGOS\docs\core_materials\historical_changelogs\EGOS 1.0.txt,95689,2025-05-21 15:08:50,a68213655d70c1da85ebed3b72008efe,Duplicate
Group 12,C:\EGOS\docs\governance\EGOS 1.0.txt,97817,2025-05-21 15:08:50,4e8ed460a39c20302d25ef6ee36bac00,Duplicate
Group 12,C:\EGOS\docs\technical\EGOS 1.0.txt,95945,2025-05-21 15:08:52,41d7407e2273e3b2f2f97d6e4fe95d09,Canonical
Group 13,C:\EGOS\docs\core_materials\historical_changelogs\EGOS1.1 visao geral.txt,9405,2025-05-21 00:40:22,f267189ea62406bb3e92db9ac7bca680,Duplicate
Group 13,C:\EGOS\docs\governance\EGOS1.1 visao geral.txt,9597,2025-05-21 00:40:22,5f4f8a5252a279fa370d44d132a4dbc8,Duplicate
Group 13,C:\EGOS\docs\technical\EGOS1.1 visao geral.txt,9614,2025-05-21 00:40:23,8cf7d38eb5197ee33028b338b01b73da,Canonical
Group 14,C:\EGOS\docs\core_materials\historical_changelogs\Instalaçao EVA.txt,39768,2025-05-21 00:40:22,c686c925958732ef80bc10ac8c096174,Duplicate
Group 14,C:\EGOS\docs\governance\Instalaçao EVA.txt,40845,2025-05-21 00:40:22,8c40a84982693aba021c5a3d0749356e,Canonical
Group 15,C:\EGOS\docs\core_materials\historical_changelogs\Integration Codeguide Paella MQP.txt,11436,2025-05-21 00:40:22,4cc99458e1e24ee66614f2dec3b07e49,Duplicate
Group 15,C:\EGOS\docs\governance\Integration Codeguide Paella MQP.txt,11705,2025-05-21 12:47:12,3f673b760a3c879691ddad0a91cb352d,Duplicate
Group 15,C:\EGOS\docs\technical\Integration Codeguide Paella MQP.txt,11692,2025-05-21 12:47:27,a0e6b16afb1beb2f48ff185ab3ba208e,Canonical
Group 16,C:\EGOS\docs\core_materials\historical_changelogs\Integraçao sistema quantico com bot.txt,110173,2025-05-21 00:40:22,d4ea349bd096ddcf97b5fecac81bec94,Duplicate
Group 16,C:\EGOS\docs\governance\Integraçao sistema quantico com bot.txt,113535,2025-05-21 00:40:22,7b175e54bf2277e138370432d45c38f8,Canonical
Group 17,C:\EGOS\docs\core_materials\historical_changelogs\MCP grande avanço roadmap.txt,13073,2025-05-21 11:09:01,a5a131f440ab6ac5f5b9ae4596067a42,Duplicate
Group 17,C:\EGOS\docs\governance\MCP grande avanço roadmap.txt,13345,2025-05-21 11:09:01,577fb86b91c78008355a3178e74db9ed,Duplicate
Group 17,C:\EGOS\docs\project\MCP grande avanço roadmap.txt,13282,2025-05-21 11:09:01,a2e65e3f2730db3f3afd55f8fcbac2f3,Canonical
Group 18,C:\EGOS\docs\core_materials\historical_changelogs\Melhorias BOT telegram.txt,33128,2025-05-21 00:40:22,898d48c93321ae48e3dff9311b4d07dc,Duplicate
Group 18,C:\EGOS\docs\governance\Melhorias BOT telegram.txt,34046,2025-05-21 00:40:22,0bf5c7d7987e1516e0dd1775f1db83f0,Canonical
Group 19,C:\EGOS\docs\core_materials\historical_changelogs\MVP OK 7.0.txt,0,2025-05-21 00:40:22,ZERO_SIZE_FILE_HASH,Duplicate
Group 19,C:\EGOS\docs\governance\MVP OK 7.0.txt,192,2025-05-21 00:40:22,08d9acbe7cb83efaf3c207ce2d100058,Canonical
Group 20,C:\EGOS\docs\core_materials\historical_changelogs\NAO PARE Futuro Projeto importante.txt,12627,2025-05-21 15:08:50,2fa0a3c8747fe85401ac4de09cef5b9a,Duplicate
Group 20,C:\EGOS\docs\governance\NAO PARE Futuro Projeto importante.txt,12896,2025-05-21 15:08:50,0f82a571ce5dc8d477d5f84b05214241,Duplicate
Group 20,C:\EGOS\docs\project\NAO PARE Futuro Projeto importante.txt,12836,2025-05-21 15:08:50,55de1872c93dc988624a96f96882b31a,Canonical
Group 21,C:\EGOS\docs\core_materials\historical_changelogs\Panorama sistema TODO.txt,11394,2025-05-21 15:08:50,70b7e7c47b4caa0464d1c02204509083,Duplicate
Group 21,C:\EGOS\docs\technical\Panorama sistema TODO.txt,11603,2025-05-21 15:08:52,34ab3de708b8c208e9e730e30cdab1a1,Canonical
Group 22,C:\EGOS\docs\core_materials\historical_changelogs\PLANO DE NEGOCIO EVA (14).txt,372,2025-05-21 00:40:22,031472d944d4e726ab672de2ff143ea5,Duplicate
Group 22,C:\EGOS\docs\governance\PLANO DE NEGOCIO EVA (14).txt,563,2025-05-21 00:40:22,4b79526d5770868e96dc4421ab8855fc,Canonical
Group 23,C:\EGOS\docs\core_materials\historical_changelogs\Plano reorganizaçao pastas.txt,34924,2025-05-21 15:08:50,ef4e955dc49f65744bc699990edb9422,Duplicate
Group 23,C:\EGOS\docs\governance\Plano reorganizaçao pastas.txt,35694,2025-05-21 15:08:50,d728ce3883880e798a51cea40a85219f,Canonical
Group 24,C:\EGOS\docs\core_materials\historical_changelogs\Prometheus Grafana.txt,119922,2025-05-21 15:08:50,d43bb3f515d98ebe0df34794e511f6f5,Duplicate
Group 24,C:\EGOS\docs\technical\Prometheus Grafana.txt,120131,2025-05-21 15:08:52,97ecb431e4438453f08aff41b1c61255,Canonical
Group 25,C:\EGOS\docs\core_materials\historical_changelogs\Prompt quantico 7 ingles.txt,0,2025-05-21 00:40:22,ZERO_SIZE_FILE_HASH,Duplicate
Group 25,C:\EGOS\docs\governance\Prompt quantico 7 ingles.txt,192,2025-05-21 00:40:22,08d9acbe7cb83efaf3c207ce2d100058,Canonical
Group 26,C:\EGOS\docs\core_materials\historical_changelogs\Prompt Quantico 7.0 EGOS.txt,238902,2025-05-21 00:40:22,2fc4e2d4ae6298800eb8e6d5eaf2d035,Duplicate
Group 26,C:\EGOS\docs\governance\Prompt Quantico 7.0 EGOS.txt,247118,2025-05-21 00:40:22,e9cadf214e80977eb76b6ad050a61ef6,Duplicate
Group 26,C:\EGOS\docs\prompts\Prompt Quantico 7.0 EGOS.txt,239111,2025-05-21 00:40:23,612a37914aef623113947ee184c8bc22,Canonical
Group 27,C:\EGOS\docs\core_materials\historical_changelogs\Prompts quanticos EGOS.txt,22526,2025-05-21 00:40:22,54cc7cb6fe3278f7eb091c631be3ce51,Duplicate
Group 27,C:\EGOS\docs\governance\Prompts quanticos EGOS.txt,22751,2025-05-21 00:40:22,4dca8d07b14341e2de0ea7dc9418725d,Duplicate
Group 27,C:\EGOS\docs\prompts\Prompts quanticos EGOS.txt,22735,2025-05-21 00:40:23,15b1c7dbd2b894ed1ec9174d36b12ac2,Canonical
Group 28,C:\EGOS\docs\core_materials\historical_changelogs\Quantum Prompt Rules e inicializaçao.txt,6699,2025-05-21 00:40:22,76b9cb72de9648611451819cbbcbd68a,Duplicate
Group 28,C:\EGOS\docs\governance\Quantum Prompt Rules e inicializaçao.txt,6891,2025-05-21 00:40:22,a09a108c4e632260e3ea2e7fde36c101,Duplicate
Group 28,C:\EGOS\docs\prompts\Quantum Prompt Rules e inicializaçao.txt,6908,2025-05-21 00:40:23,02904439089bb70a1a4f2c9fd6775496,Canonical
Group 29,C:\EGOS\docs\core_materials\historical_changelogs\Roadmap Mycellium.txt,12047,2025-05-21 00:40:22,3ef527be5506fb946222746f188a8e86,Duplicate
Group 29,C:\EGOS\docs\governance\Roadmap Mycellium.txt,12316,2025-05-21 12:47:20,074e8f7c7849e1daf48d8550d0b2fd88,Duplicate
Group 29,C:\EGOS\docs\project\Roadmap Mycellium.txt,12293,2025-05-21 12:47:40,bc90b5883eaefc9e345c955b508b6314,Canonical
Group 30,C:\EGOS\docs\core_materials\historical_changelogs\RPG EVA.txt,245955,2025-05-21 11:09:01,55a6e0db844ee2f59f9d57b34ecac945,Duplicate
Group 30,C:\EGOS\docs\governance\RPG EVA.txt,246538,2025-05-21 11:09:01,0fa7b009c402210864fcfb4b159a6556,Canonical
Group 31,C:\EGOS\docs\core_materials\historical_changelogs\ULTIMA quase tudo revisado.txt,239976,2025-05-21 15:08:50,9f5eaa4ad6001fa07a4aa89c9514ce5d,Duplicate
Group 31,C:\EGOS\docs\governance\ULTIMA quase tudo revisado.txt,244662,2025-05-21 15:08:50,1908ac65d1acb9d6019ee2ea0091104c,Canonical
Group 32,C:\EGOS\docs\core_materials\i18n_conventions.md,4047,2025-05-21 15:08:50,a3d857ec1b720a26578cadfa95b34de8,Duplicate
Group 32,C:\EGOS\docs\standards\i18n_conventions.md,5146,2025-05-21 15:08:52,60086fccb06c9c428973806c1d1da610,Canonical
Group 33,C:\EGOS\docs\core_materials\INTEGRATION_PLAN.md,1,2025-05-21 00:40:22,7215ee9c7d9dc229d2921a40e899ec5f,Duplicate
Group 33,C:\EGOS\docs\INTEGRATION_PLAN.md,318,2025-05-21 00:18:50,9058b32214c55610996445855d41a7c1,Canonical
Group 33,C:\EGOS\docs\project\INTEGRATION_PLAN.md,1338,2025-05-21 11:09:01,26d851f05ba67c9c3b583355f86a3977,Duplicate
Group 34,C:\EGOS\docs\core_materials\KOIOS_Interaction_Standards.md,5461,2025-05-21 11:09:00,63ab26e116a8ffea1e38348a00944b63,Duplicate
Group 34,C:\EGOS\docs\core_materials\standards\KOIOS_Interaction_Standards.md,5460,2025-05-21 11:09:01,2edcbe5d31604c3d11d2690096f36487,Duplicate
Group 34,C:\EGOS\docs\standards\KOIOS_Interaction_Standards.md,6161,2025-05-21 11:09:02,40935ffdb724c1541c11b114c1026eae,Canonical
Group 35,C:\EGOS\docs\core_materials\MCP_CREATION_GUIDE.md,23735,2025-05-21 00:40:22,7c9feaf368811dd47fe0f845fb58f5aa,Duplicate
Group 35,C:\EGOS\docs\guides\MCP_CREATION_GUIDE.md,24845,2025-05-21 11:09:01,02b5ba287e70134897212c48eb0c17e0,Canonical
Group 36,C:\EGOS\docs\core_materials\MQP.md,13796,2025-05-21 15:08:50,7e7f628a958b572f27e2d0ae513993a0,Duplicate
Group 36,C:\EGOS\docs\project\MQP.md,12041,2025-05-21 11:09:02,4d96e3198ca1605e2660b4ada2f810f8,Canonical
Group 37,C:\EGOS\docs\core_materials\MYCELIUM_INTEGRATION.md,7582,2025-05-21 00:40:22,5de78fe014a64a02129ac09c0f40053f,Duplicate
Group 37,C:\EGOS\docs\technical\MYCELIUM_INTEGRATION.md,8702,2025-05-21 11:09:02,344dd6f8b7681d877d0b3007058f9d75,Canonical
Group 38,C:\EGOS\docs\core_materials\PHILOSOPHY.md,2743,2025-05-21 00:40:22,2d8aeaecf690d2b07b82acada30b74b5,Duplicate
Group 38,C:\EGOS\docs\project\PHILOSOPHY.md,3803,2025-05-21 11:09:02,73bd138112b4082ff78e7c1842e057d2,Canonical
Group 39,C:\EGOS\docs\core_materials\process\validation\PROC-VALIDATE-01_roadmap_tasks_validation.md,3721,2025-05-21 00:40:22,d573979bc96593e63a1bab89e8f279d5,Duplicate
Group 39,C:\EGOS\docs\standards\validation_procedures\PROC-VALIDATE-01_roadmap_tasks_validation.md,5019,2025-05-21 11:09:02,6dbf6da48cf104cfd8c3f2e5680e3b6b,Canonical
Group 40,C:\EGOS\docs\core_materials\process\validation\PROC-VALIDATE-02_subsystem_structure_validation.md,3965,2025-05-21 15:08:50,42c07331da9aec44ad214953dd05546e,Duplicate
Group 40,C:\EGOS\docs\standards\validation_procedures\PROC-VALIDATE-02_subsystem_structure_validation.md,5212,2025-05-21 15:08:52,fe46618dc516bddca5b313352334852f,Canonical
Group 41,C:\EGOS\docs\core_materials\prompts\coruja_zendesk_ticket_analysis_v1.pdd,3323,2025-05-21 00:40:22,1b9b9237ea8bce10301c4f1598bb6c20,Duplicate
Group 41,C:\EGOS\docs\prompts\coruja_zendesk_ticket_analysis_v1.pdd,3323,2025-05-21 00:40:23,1b9b9237ea8bce10301c4f1598bb6c20,Canonical
Group 42,C:\EGOS\docs\core_materials\prompts\CURSOR_QUANTUM_PROMPT.md,6045,2025-05-21 00:40:22,083544dd3f6314a0a067dcbf4d0f91e2,Duplicate
Group 42,C:\EGOS\docs\prompts\CURSOR_QUANTUM_PROMPT.md,7160,2025-05-21 11:09:02,bc484b99fc5331ecb37aa2cc068d7993,Canonical
Group 43,C:\EGOS\docs\core_materials\prompts\CURSOR_SYSTEM_PROMPT.txt,2432,2025-05-21 00:40:22,9278372460aa8b8468c67a16c529c6e5,Duplicate
Group 43,C:\EGOS\docs\prompts\CURSOR_SYSTEM_PROMPT.txt,2642,2025-05-21 00:40:23,645ffb619dbb6a03115836b0389e7550,Canonical
Group 44,C:\EGOS\docs\core_materials\prompts\pdds\generate_python_docstring.yaml,2561,2025-05-21 00:40:22,5f2d7ebb3bcade99cdb107b1c2ecb279,Duplicate
Group 44,C:\EGOS\docs\prompts\pdds\generate_python_docstring.yaml,2695,2025-05-21 15:08:50,81c264b96c60fbfa8b2d3ba55da73dc5,Canonical
Group 44,C:\EGOS\docs\resources\data\generate_python_docstring.yaml,2695,2025-05-21 15:08:52,81c264b96c60fbfa8b2d3ba55da73dc5,Duplicate
Group 45,C:\EGOS\docs\core_materials\prompts\strategic_analysis_prompt_v2.0.md,7886,2025-05-21 00:40:22,fa41edd17855ca167231a37ab905c61e,Duplicate
Group 45,C:\EGOS\docs\prompts\strategic_analysis_prompt_v2.0.md,9046,2025-05-21 11:09:02,7dbe23d3edc8c457805172c51553966a,Canonical
Group 45,C:\EGOS\docs\STRATEGIC_THINKING\meta_prompts\strategic_analysis_prompt_v2.0.md,10925,2025-05-21 11:09:02,3bac4b9ecf1f7d61e5f476ce4e3fc94d,Duplicate
Group 46,C:\EGOS\docs\core_materials\README.md,3045,2025-05-21 11:09:01,7b2cec2f23b12c90efaddc88364b250b,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\content-marketing-ideas-template\crewAI-enterprise-content-marketing-ideas-template-main\README.md,3361,2025-05-21 00:18:52,dc551962c6074aee531b00d68cdb07f6,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\contract-analysis-template\crewAI-enterprise-contract-analysis-template-main\README.md,2570,2025-05-21 00:18:52,cb602fb0b1593a6d0d2ca8817d23005f,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\create-sales-offer-template\crewAI-enterprise-create-sales-offer-template-main\README.md,2458,2025-05-21 00:18:52,be2b25136344e98178649d10b7205feb,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\fraud-detector-template\crewAI-enterprise-fraud-detector-template-main\README.md,2460,2025-05-21 00:18:52,36b3ae4387f18b18eff8852909367d2e,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\job-change-monitor-template\crewAI-enterprise-job-change-monitor-template-main\README.md,2525,2025-05-21 00:18:52,27430a0a3a98f41f4aea9d264fd8b9ac,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\lead-scoring-template\crewAI-enterprise-lead-scoring-template-main\README.md,2554,2025-05-21 00:18:52,6373e42f26049d7b60c365d0a39640bb,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\personalized-email-template\crewAI-enterprise-personalized-email-template-main\README.md,2585,2025-05-21 00:18:52,b8b7c1e05b8850ecd1d9cccb999b923e,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\prep-for-meeting-template\crewAI-enterprise-prep-for-meeting-template-main\README.md,2505,2025-05-21 00:18:52,d996647044523fb3da0d4acb53a2fe75,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\sales-contact-finder-template\crewAI-enterprise-sales-contact-finder-template-main\README.md,2545,2025-05-21 00:18:52,296329e512353e2b688f6c394e716b90,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\sales-pdf-template\crewAI-enterprise-sales-pdf-template-main\README.md,2438,2025-05-21 00:18:52,7daefd8a916dc51db73a35e08152a853,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\similar-company-finder-template\crewAI-enterprise-similar-company-finder-template-main\README.md,2652,2025-05-21 00:18:52,e8e9bf43d0b6a3e32fc2cd654a7671a5,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\zendesk-categorize-and-sentiment-analysis-template\crewAI-enterprise-zendesk-categorize-and-sentiment-analysis-template-main\README.md,2782,2025-05-21 00:18:52,8a74575cc369c3d957e137970d9a2245,Duplicate
Group 46,C:\EGOS\docs\examples\crewai\zendesk-ticket-analysis-template\crewAI-enterprise-zendesk-ticket-analysis-template-main\README.md,2782,2025-05-21 00:18:52,8a74575cc369c3d957e137970d9a2245,Duplicate
Group 46,C:\EGOS\docs\governance\README.md,2399,2025-05-21 11:09:01,7925308051f1fed55092d5b90735c62f,Duplicate
Group 46,C:\EGOS\docs\products\website\README.md,2137,2025-05-21 11:09:01,3c69e690a7d1d573f8109c2bcd7e0eac,Duplicate
Group 46,C:\EGOS\docs\README.md,4719,2025-05-21 15:08:50,8f70b8a6e26046002072887e3acf543e,Canonical
Group 46,C:\EGOS\docs\research\README.md,892,2025-05-21 11:09:02,0a23ab2ee787df070e4c11bab6d8c29a,Duplicate
Group 46,C:\EGOS\docs\STRATEGIC_THINKING\README.md,1404,2025-05-21 11:09:02,b9f5c616da335e8efb5b6c7d1b1b14e6,Duplicate
Group 47,C:\EGOS\docs\core_materials\research\AI_AGENT_CAPABILITIES_2025.md,4596,2025-05-21 00:40:22,674d5176ee56a56ddfb441c71e01406e,Canonical
Group 47,C:\EGOS\docs\STRATEGIC_THINKING\research\AI_AGENT_CAPABILITIES_2025.md,4493,2025-05-21 00:40:22,f3e15c86f40c38b8b1620fc7c3df04e9,Duplicate
Group 48,C:\EGOS\docs\core_materials\research\CONTENT_AGGREGATOR_DEEP_DIVE.md,7689,2025-05-21 15:08:50,782b6321b47098e05ba0297eba8c0ca1,Canonical
Group 48,C:\EGOS\docs\STRATEGIC_THINKING\research\CONTENT_AGGREGATOR_DEEP_DIVE.md,7510,2025-05-21 15:08:52,5a120ce4e60963cb7c03958cbaf77b8b,Duplicate
Group 49,C:\EGOS\docs\core_materials\standards\KOIOS_PDD_Standard.md,3307,2025-05-21 15:08:50,b5bc4aab70500b6a7c3ff6a48c907de5,Duplicate
Group 49,C:\EGOS\docs\standards\KOIOS_PDD_Standard.md,3997,2025-05-21 15:08:52,6891e0fef646ad44454fff79d23f2c26,Canonical
Group 50,C:\EGOS\docs\core_materials\STANDARDS_SCRIPT_FEEDBACK.md,4051,2025-05-21 15:08:50,78d6283d995ea16fc760e8897752c86f,Duplicate
Group 50,C:\EGOS\docs\standards\STANDARDS_SCRIPT_FEEDBACK.md,5195,2025-05-21 15:08:52,c3bcf379bafd827c8fc2f734f8d832bd,Canonical
Group 51,C:\EGOS\docs\core_materials\strategy\Competitive_Analysis.md,1053,2025-05-21 00:40:22,6499448dcded6723d0d57a31b2bed828,Canonical
Group 51,C:\EGOS\docs\project\archived_strategy_subdirs\strategy_archive\Competitive_Analysis.md,2163,2025-05-21 11:09:02,931fbd07d4ca224e86db69a10dd875b5,Duplicate
Group 51,C:\EGOS\docs\STRATEGIC_THINKING\strategy_archive\Competitive_Analysis.md,1019,2025-05-21 00:40:22,b8f85150698861e5e0728975465a57a8,Duplicate
Group 52,C:\EGOS\docs\core_materials\strategy\Customer_Journey_Map.md,913,2025-05-21 00:40:22,d481ff8737252799aa0baa96437a0eb4,Canonical
Group 52,C:\EGOS\docs\project\archived_strategy_subdirs\strategy_archive\Customer_Journey_Map.md,2023,2025-05-21 11:09:02,f3373ab6eb79f61b30ba8c2be91a3578,Duplicate
Group 52,C:\EGOS\docs\STRATEGIC_THINKING\strategy_archive\Customer_Journey_Map.md,1,2025-05-21 00:40:22,7215ee9c7d9dc229d2921a40e899ec5f,Duplicate
Group 53,C:\EGOS\docs\core_materials\strategy\EGOS_Business_Plan_v1.0.md,19145,2025-05-21 11:09:01,2419985cf17a3665909cc4effa527879,Canonical
Group 53,C:\EGOS\docs\project\archived_strategy_subdirs\strategy_archive\EGOS_Business_Plan_v1.0.md,20269,2025-05-21 11:09:02,5fe3837ba29537e8375f4427c1a12861,Duplicate
Group 53,C:\EGOS\docs\STRATEGIC_THINKING\strategy_archive\EGOS_Business_Plan_v1.0.md,18797,2025-05-21 11:09:02,ba59857ee58fbf12410d8ea55d321b0d,Duplicate
Group 54,C:\EGOS\docs\core_materials\strategy\EGOS_PRESENTATION_GUIDE.md,6257,2025-05-21 15:08:50,16cda0c5504ec2d7c0e83763d3596b7b,Canonical
Group 54,C:\EGOS\docs\project\archived_strategy_subdirs\strategy_archive\EGOS_PRESENTATION_GUIDE.md,7351,2025-05-21 15:08:50,5b575f16f24a9b5d3eba454c4aa8f133,Duplicate
Group 54,C:\EGOS\docs\STRATEGIC_THINKING\strategy_archive\EGOS_PRESENTATION_GUIDE.md,6170,2025-05-21 15:08:52,9082bec12370fe1c198cdf6f54b5445d,Duplicate
Group 55,C:\EGOS\docs\core_materials\strategy\Monetization_Model.md,1108,2025-05-21 00:40:22,2f19d98e2daa557d1cc3dd22f4e40226,Canonical
Group 55,C:\EGOS\docs\project\archived_strategy_subdirs\strategy_archive\Monetization_Model.md,2208,2025-05-21 11:09:02,a0b4c48de37076e6216f6c4c5498d926,Duplicate
Group 55,C:\EGOS\docs\STRATEGIC_THINKING\strategy_archive\Monetization_Model.md,1082,2025-05-21 00:40:22,9870793f26424913231a9f7ac1045586,Duplicate
Group 56,C:\EGOS\docs\core_materials\strategy\MVP_Definition.md,7411,2025-05-21 00:40:22,c4a2e482a33a7b652588b76458a43710,Canonical
Group 56,C:\EGOS\docs\project\archived_strategy_subdirs\strategy_archive\MVP_Definition.md,8491,2025-05-21 11:09:02,2a85a1c5e6a67b38168031d07044fd21,Duplicate
Group 56,C:\EGOS\docs\STRATEGIC_THINKING\strategy_archive\MVP_Definition.md,7094,2025-05-21 00:40:22,8272dc6abc6c1fd80c12336974015334,Duplicate
Group 57,C:\EGOS\docs\core_materials\strategy\Target_Platform_Analysis.md,983,2025-05-21 00:40:22,649629d18596af9508c62cc966055d52,Canonical
Group 57,C:\EGOS\docs\project\archived_strategy_subdirs\strategy_archive\Target_Platform_Analysis.md,2113,2025-05-21 11:09:02,c10b6cf226302aede5372aca2e8ff564,Duplicate
Group 57,C:\EGOS\docs\STRATEGIC_THINKING\strategy_archive\Target_Platform_Analysis.md,928,2025-05-21 00:40:22,9299689e323cf13a68ae9503befd6574,Duplicate
Group 58,C:\EGOS\docs\core_materials\STRATEGY.md,11612,2025-05-21 00:40:22,7a7eaaa03e9891eac59577ee57010d8b,Duplicate
Group 58,C:\EGOS\docs\governance\STRATEGY.md,10660,2025-05-21 11:09:01,61e11688f997e2fd3d57cdd8e7dac01c,Duplicate
Group 58,C:\EGOS\docs\project\STRATEGY.md,12661,2025-05-21 11:09:02,45e751be9601b2a17b8d9a00db2e3c47,Canonical
Group 58,C:\EGOS\docs\STRATEGIC_THINKING\STRATEGY.md,9558,2025-05-21 00:40:22,f9aec8bfc0750ead685c5c4f2befe140,Duplicate
Group 59,C:\EGOS\docs\core_materials\tech_radar\web_scraping_strategies.md,5319,2025-05-21 00:40:22,345c9875ab2e63f087595b68b0b1d671,Canonical
Group 59,C:\EGOS\docs\STRATEGIC_THINKING\technology_watch\web_scraping_strategies.md,5130,2025-05-21 00:40:22,3b4b2dce207c946a086f8ab88b6bc5d6,Duplicate
