Group,Path,Size,Last Modified,Is Archive,Is Documentation,Content Hash
Similar Content Group 14,C:\EGOS\scripts\maintenance\..\..\docs\project\STRATEGY.md,12661,2025-05-21T11:09:02.005509,False,True,45e751be9601b2a17b8d9a00db2e3c47
Similar Content Group 15,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\CRONOS_REFACTORING_EXAMPLE.md,11820,2025-05-21T00:40:22.630301,False,True,24db1508bcf498d5aece33254b796fde
Similar Content Group 15,C:\EGOS\scripts\maintenance\..\..\docs\guides\CRONOS_REFACTORING_EXAMPLE.md,12970,2025-05-21T11:09:01.890749,False,True,59e93ee790aaea561f9e86dc8803b821
Similar Content Group 16,C:\EGOS\scripts\maintenance\..\..\docs\governance\STRATEGY.md,10660,2025-05-21T11:09:01.805568,False,True,61e11688f997e2fd3d57cdd8e7dac01c
Similar Content Group 16,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\STRATEGY.md,9558,2025-05-21T00:40:22.536953,False,True,f9aec8bfc0750ead685c5c4f2befe140
Similar Content Group 17,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\prompts\strategic_analysis_prompt_v2.0.md,7886,2025-05-21T00:40:22.792446,False,True,fa41edd17855ca167231a37ab905c61e
Similar Content Group 17,C:\EGOS\scripts\maintenance\..\..\docs\prompts\strategic_analysis_prompt_v2.0.md,9046,2025-05-21T11:09:02.202470,False,True,7dbe23d3edc8c457805172c51553966a
Similar Content Group 18,C:\EGOS\scripts\maintenance\..\..\docs\technical\MYCELIUM_INTEGRATION.md,8702,2025-05-21T11:09:02.623179,False,True,344dd6f8b7681d877d0b3007058f9d75
Similar Content Group 18,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\MYCELIUM_INTEGRATION.md,7582,2025-05-21T00:40:22.639120,False,True,5de78fe014a64a02129ac09c0f40053f
Similar Content Group 19,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\prompts\CURSOR_QUANTUM_PROMPT.md,6045,2025-05-21T00:40:22.783964,False,True,083544dd3f6314a0a067dcbf4d0f91e2
Similar Content Group 19,C:\EGOS\scripts\maintenance\..\..\docs\prompts\CURSOR_QUANTUM_PROMPT.md,7160,2025-05-21T11:09:02.178373,False,True,bc484b99fc5331ecb37aa2cc068d7993
Similar Content Group 20,C:\EGOS\scripts\maintenance\..\..\docs\standards\KOIOS_PDD_Standard.md,3997,2025-05-21T15:08:52.490261,False,True,6891e0fef646ad44454fff79d23f2c26
Similar Content Group 20,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\standards\KOIOS_PDD_Standard.md,3307,2025-05-21T15:08:50.504638,False,True,b5bc4aab70500b6a7c3ff6a48c907de5
